Layer,Name,GEOID,Population,Longitude,Latitude,HCSNS_2022-2023,HCSNSP_2022-2023,HCSTLE_2022-2023,HCSTLEP_2022-2023,HCSTLG_2022-2023,HCSTLGP_2022-2023,UMP_2018-2022,INC_2018-2022,POV_2018-2022
,,,,,,"Perceived neighborhood safety (count of adults), 2022-2023","Perceived neighborhood safety rate (% of adults), 2022-2023","Trust in law enforcement (counts of adults), 2022-2023","Trust in law enforcement rate (% of adults), 2022-2023","Trust in local government (counts of adults), 2022-2023","Trust in local government rate (% of adults), 2022-2023","Unemployment rate (%), 2018-2022","Median household income, 2018-2022","Poverty rate (% of residents), 2018-2022"
Community area,Rogers Park,1,55454,-87.67017100,42.00963000,27300.0,60.700015596,19600.0,43.640613186,19600.0,43.475974529,5.730761428438949,53437.61017481718,19.98346632039768
Community area,Norwood Park,10,41069,-87.80345100,41.98524800,21900.0,77.766412855,21800.0,77.388891163,12700.0,45.17355921,4.030903836155259,98470.72342275747,7.078679567611825
Community area,Jefferson Park,11,26201,-87.77116500,41.97883600,17900.0,79.263826467,13600.0,60.079924773,8000.0,35.553800192,5.959054974385497,85018.7956798118,8.798697261615647
Community area,Forest Glen,12,19579,-87.75835800,41.99393800,13400.0,94.582335434,12500.0,88.719634075,7600.0,53.701754714,4.536269414947149,130092.48566295506,3.860948224483862
Community area,North Park,13,17522,-87.72357800,41.98365100,11500.0,87.16669581,7700.0,58.481791305,8300.0,62.455295345,3.7461213040012207,65645.26518206015,14.419894409291619
Community area,Albany Park,14,48549,-87.72155800,41.96807800,26500.0,55.768261598,22300.0,46.974343983,19600.0,41.349277761,6.426612271181117,72881.24120324591,13.388062239054806
Community area,Portage Park,15,63038,-87.76340100,41.95404300,38500.0,72.929773112,31400.0,59.575907417,22500.0,42.688216923,5.357157001053547,79293.21061915808,9.794777713420007
Community area,Irving Park,16,51911,-87.72345700,41.95358900,26300.0,80.989105711,19800.0,60.812041159,12800.0,39.220958807,6.0002984669850425,81726.82719039213,8.701739893915583
Community area,Dunning,17,43120,-87.80601500,41.94652200,27500.0,81.367738772,24100.0,71.216958775,13900.0,40.959254743,5.160218872203616,77315.51083315052,7.749238796699321
Community area,Montclare,18,14412,-87.79803300,41.92930600,11600.0,73.837639058,11800.0,75.303814739,5900.0,37.851582709,4.17681773729763,67104.3541267064,10.979463569117392
Community area,Belmont Cragin,19,78151,-87.76550200,41.92727500,28400.0,56.166859559,28300.0,55.862994899,21300.0,42.188664001,4.516766398628918,57618.945106890686,15.140262208300731
Community area,West Ridge,2,77139,-87.69501700,42.00158300,32000.0,63.230142421,27500.0,54.774316502,19300.0,38.104136852,6.535238126411603,64316.29993100468,17.104954001024854
Community area,Hermosa,20,24127,-87.73474100,41.92435300,12500.0,50.002806262,13600.0,54.206493232,10600.0,42.405325528,5.502811081447311,59771.02980977841,13.676334474801996
Community area,Avondale,21,36245,-87.71121900,41.93867300,19900.0,70.664655237,14700.0,52.047227637,12800.0,45.522220652,5.67022392236355,82957.54745740935,12.85776249746079
Community area,Logan Square,22,71742,-87.69914900,41.92276800,43900.0,77.564645157,25900.0,45.775287421,23500.0,41.589327312,4.371680850134808,93904.05631214366,11.424640862353607
Community area,Humboldt Park,23,53832,-87.72091700,41.90008000,17300.0,46.543128779,16600.0,44.879460827,14600.0,39.375194051,10.489145566941502,47128.027168997854,25.007722593889522
Community area,West Town,24,87942,-87.67635800,41.90121600,46800.0,67.877569587,27800.0,40.268408779,26900.0,39.037723913,3.514941566960906,121913.4172513324,8.934674182243567
Community area,Austin,25,96753,-87.76311700,41.89411300,31800.0,41.461480672,35500.0,46.559784598,28200.0,36.933900693,14.504063658617126,43108.7724358938,25.99961530373207
Community area,West Garfield Park,26,17423,-87.73023300,41.87860200,4900.0,35.386325334,6800.0,48.919113784,4700.0,33.66071342,20.72445421862778,33213.63488864752,33.66537370893612
Community area,East Garfield Park,27,19995,-87.70589200,41.87892300,6200.0,40.948619534,6800.0,44.810191908,4100.0,27.041821888,17.157384615367555,30945.7925407353,40.427197340878806
Community area,Near West Side,28,67817,-87.66351300,41.87401600,26400.0,58.31915608,24900.0,55.432068125,16200.0,35.826238597,7.020788644030403,97636.08463790963,17.843367631779564
Community area,North Lawndale,29,34817,-87.71721800,41.86019700,9500.0,36.706889385,11800.0,47.194818432,9200.0,35.771578079,15.008267386229289,33607.88139967591,36.04467214542672
Community area,Uptown,3,55120,-87.65589900,41.96582200,35900.0,74.177080149,17500.0,36.104440046,19500.0,40.457290738,4.643744109180738,63203.80625701653,19.776203586016457
Community area,South Lawndale,30,71402,-87.71400000,41.83909100,17200.0,30.879341477,27800.0,50.674384985,18800.0,34.284621994,9.94704178548781,41570.88468730077,22.69630858092944
Community area,Lower West Side,31,33716,-87.66757000,41.85027700,11500.0,46.936314554,10200.0,41.658532806,7500.0,30.788425236,7.526146738313228,66705.5120407606,14.312728925224182
Community area,Loop,32,43440,-87.62519400,41.87888100,27100.0,71.38466391,22900.0,60.298313965,18700.0,49.345633241,6.174149347043273,113487.71312693742,9.690558385485602
Community area,Near South Side,33,27296,-87.62034400,41.85719600,15600.0,75.923704984,13200.0,64.696323232,10000.0,48.832675191,1.9846265568116466,115353.39476237375,7.341186672757231
Community area,Armour Square,34,13847,-87.63397600,41.84208300,3700.0,39.107556609,5100.0,53.981387483,3800.0,40.285697885,8.047964958097666,43786.68174314239,20.09832514012484
Community area,Douglas,35,20292,-87.61868000,41.83512200,6500.0,46.823601473,7000.0,51.029031719,7300.0,52.173035152,14.453044230064478,52565.014997107646,27.822874893561696
Community area,Oakland,36,6803,-87.60321700,41.82375400,3100.0,58.173504121,2000.0,37.66712838,1900.0,35.430224741,21.67249327159978,24412.990396226913,35.763976842325974
Community area,Fuller Park,37,2549,-87.63242700,41.80908200,2400.0,45.191042887,2900.0,56.386254475,2600.0,49.583499618,32.710073995915785,16905.852490949987,51.44108848546068
Community area,Grand Boulevard,38,24586,-87.61786000,41.81294700,6600.0,47.888683798,5300.0,38.304549217,4700.0,34.726220878,14.500018483238302,42981.47407025444,27.026833951272245
Community area,Kenwood,39,19126,-87.59618600,41.80891800,11100.0,73.702118916,10000.0,66.617727365,10500.0,69.884922361,10.852967401182665,53777.19372793434,24.407591669393085
Community area,Lincoln Square,4,40412,-87.68751300,41.97518200,30800.0,88.08794165,18900.0,54.189203566,21200.0,62.328840231,6.1094027765924945,81358.04632922912,9.090644415636802
Community area,Washington Park,40,12709,-87.61793600,41.79235600,3300.0,42.065363123,2000.0,26.301227282,2100.0,27.107529254,15.83214043647788,32607.90221339166,43.52100996532824
Community area,Hyde Park,41,29459,-87.59230500,41.79408800,16700.0,71.140304701,12400.0,52.477615985,12100.0,51.208034968,5.981646579059509,66280.27304285936,22.405587429338937
Community area,Woodlawn,42,25285,-87.59492400,41.77887700,12300.0,56.277140272,9300.0,42.613218181,8300.0,37.927011653,16.140819228129548,32189.05506218319,31.16742259994987
Community area,South Shore,43,51919,-87.57279000,41.76158300,9500.0,28.296143422,12400.0,37.444082875,10500.0,33.321724828,16.820512553552334,36391.11214989387,30.79121792409531
Community area,Chatham,44,31804,-87.61596500,41.74020600,10800.0,42.656820015,8500.0,33.647349152,6000.0,23.720884209,15.215630533691241,39952.49023789622,24.71433355110237
Community area,Avalon Park,45,9359,-87.58634700,41.74419700,5600.0,43.547275346,4300.0,34.713407215,7000.0,54.839064317,12.119186816641282,48205.946041442505,19.565671394237064
Community area,South Chicago,46,27254,-87.55143500,41.74124300,9300.0,43.261615781,7600.0,35.343101042,6700.0,31.605916702,17.147222887856106,43315.61971782559,28.81629969842862
Community area,Burnside,47,2514,-87.59647000,41.72818100,2800.0,65.777493179,2600.0,61.644826084,1800.0,41.617638662,16.216368561838415,42058.85719775685,16.137658648360343
Community area,Calumet Heights,48,13085,-87.57272000,41.72967300,4300.0,48.406974829,4400.0,50.117661978,3800.0,42.723085721,8.241089241129147,62515.215446024624,12.34627686080189
Community area,Roseland,49,38934,-87.62336600,41.70658800,10200.0,46.099816352,8600.0,38.766024401,5900.0,26.59624662,18.843827533818715,45878.21661087114,21.79013606079402
Community area,North Center,5,35150,-87.68383900,41.94781100,27800.0,87.603611176,24100.0,75.895105948,16000.0,50.39532876,3.6348059644959436,141151.31000920266,4.781574096430831
Community area,Pullman,50,6866,-87.59825200,41.70613100,3000.0,49.681192003,2000.0,32.201169051,2700.0,43.849537951,13.320566254441632,52782.06376842416,17.96187949087029
Community area,South Deering,51,14125,-87.57005800,41.69063900,6400.0,51.687602549,6600.0,53.475236543,4200.0,33.638915594,15.234707619557389,38071.76407415082,29.95218722670533
Community area,East Side,52,21787,-87.53490700,41.70730600,9300.0,53.437973606,11300.0,64.236870788,7100.0,40.481891744,7.395193066305282,59683.25290049639,14.513139875134197
Community area,West Pullman,53,25940,-87.63574500,41.67382000,7600.0,47.651572689,7400.0,47.099917675,5600.0,34.674171051,18.65481109060029,43871.40879009167,22.758097134601524
Community area,Riverdale,54,7229,-87.60284900,41.66013700,3000.0,22.894590772,4300.0,32.734149377,5400.0,41.052520852,27.41414839766552,19977.682922962424,52.10062619996782
Community area,Hegewisch,55,9884,-87.55680300,41.66818800,4600.0,60.586607858,5700.0,76.192352995,3200.0,42.218782008,10.993223049649156,64476.46307793072,12.352568764951775
Community area,Garfield Ridge,56,35352,-87.76424600,41.79618500,26000.0,85.696995075,23100.0,76.022134963,15100.0,49.729449341,5.202227681362315,83088.19049222759,6.445995781410183
Community area,Archer Heights,57,14282,-87.72636500,41.81087300,8000.0,54.028759104,8400.0,56.678774267,6300.0,42.711294159,13.675707874765513,55327.50552793757,9.808413273723339
Community area,Brighton Park,58,45141,-87.69885900,41.81736400,12600.0,39.583089155,13900.0,43.932899663,8500.0,27.10163001,9.677438737945758,47842.04887887777,18.728038280314305
Community area,McKinley Park,59,15927,-87.67250000,41.82992700,8300.0,70.409260809,8100.0,68.019588455,5700.0,48.359472192,8.082515639998944,63710.47296904285,12.345046154867491
Community area,Lake View,6,103048,-87.65600100,41.94423600,79800.0,81.941125923,51800.0,53.204199178,47900.0,49.280782403,3.6888608700803593,105166.3230051884,7.918855052595144
Community area,Bridgeport,60,33593,-87.64878400,41.83615100,10500.0,53.07903109,10700.0,54.108156145,9300.0,46.640706393,6.734385125023577,68504.70053133252,14.485226893773852
Community area,New City,61,43510,-87.65917100,41.80901700,8900.0,32.630431326,11500.0,42.835863089,5400.0,19.979031257,13.603253680698874,40607.9949472004,29.318522717888232
Community area,West Elsdon,62,18249,-87.72421300,41.79297700,11800.0,58.754371088,12000.0,60.032754425,10300.0,51.550553124,10.357699648783038,57939.517390438785,12.943918940227265
Community area,Gage Park,63,39439,-87.69643300,41.79542900,13600.0,46.967585787,13600.0,47.550605871,10700.0,36.850562847,15.680791580942635,45828.42467427894,15.836445281132455
Community area,Clearing,64,24519,-87.76851700,41.77958200,12300.0,66.575504218,13000.0,70.253876586,8700.0,47.235685514,8.349821335782341,68281.3034900751,6.6023801611052235
Community area,West Lawn,65,33543,-87.72692700,41.76977400,13700.0,62.705697314,13000.0,60.083810455,9100.0,41.678407317,11.441188121949288,64541.92117008231,14.69812209843441
Community area,Chicago Lawn,66,55789,-87.69566700,41.77184900,13400.0,43.223713115,16500.0,53.621528593,13300.0,43.314025678,17.844208033016244,40944.68146368708,21.50798345615751
Community area,West Englewood,67,29899,-87.66659800,41.77592600,8900.0,36.927351696,10800.0,45.304294209,8400.0,34.645640136,21.793134008007666,28468.017465206914,33.09533446376343
Community area,Englewood,68,24322,-87.64250200,41.77720100,4900.0,30.453822952,6000.0,37.339485791,4700.0,28.757752811,22.374815048479714,27317.01272774194,36.018107707266175
Community area,Greater Grand Crossing,69,31543,-87.61613900,41.76325100,9200.0,43.955406804,11000.0,52.849719579,7400.0,35.450858062,16.947714643741435,39831.53533529527,30.01680234004107
Community area,Lincoln Park,7,70425,-87.64949100,41.92269600,41600.0,78.964911202,28400.0,53.930976044,22000.0,41.814112358,3.667269434776684,145315.26548761083,8.785621084807026
Community area,Ashburn,70,41280,-87.70836300,41.74575600,18100.0,62.943375141,17400.0,60.400195947,11000.0,38.510342166,9.934491273019036,71941.27015725641,13.159678423407305
Community area,Auburn Gresham,71,44959,-87.65630500,41.74420300,13800.0,38.237813382,16800.0,46.70494405,10600.0,29.363129738,19.392063119541774,40373.34523332623,26.32819387718401
Community area,Beverly,72,19950,-87.67507200,41.71314800,13600.0,81.48392414,13500.0,80.958908263,10700.0,64.370953415,7.554829761462497,119491.94250260894,5.0492362770106665
Community area,Washington Heights,73,25075,-87.64889700,41.71749500,14500.0,61.810107616,11600.0,50.226399915,10400.0,44.246244674,12.605254259232368,63116.545974778965,14.291167661680051
Community area,Mount Greenwood,74,18633,-87.71318900,41.69487600,14200.0,88.847646863,12300.0,76.708858322,6800.0,42.376162403,6.093179729427535,102170.54902084621,6.202736601753967
Community area,Morgan Park,75,21714,-87.66906200,41.68972900,12100.0,76.539645394,9500.0,60.530931572,6200.0,39.055081051,9.018792594943406,64960.63928637248,13.410492807977505
Community area,O'Hare,76,14416,-87.89369900,41.97569600,8900.0,85.645702634,6600.0,63.590412467,3500.0,33.618251007,4.454633407995009,64432.76097184721,8.655475348944012
Community area,Edgewater,77,56308,-87.66341900,41.98671900,42500.0,81.42082757,28800.0,55.880787611,28100.0,53.859882479,7.390863855279193,65693.54076655462,15.778411605998027
Community area,Near North Side,8,97789,-87.63331800,41.89961100,60800.0,74.399614369,52500.0,64.397746107,36000.0,44.235623682,2.782358315232106,118407.68784007554,9.500605731403942
Community area,Edison Park,9,11521,-87.81378000,42.00762700,5800.0,80.724324198,5600.0,77.641337144,3500.0,48.020833718,3.226065512432081,109770.59687508275,6.369819414075524
