Community Area,Primary Type,total_crimes
38,Weapons Violation,529
39,Arson,9
39,Assault,647
39,Battery,1286
39,Burglary,211
39,Crim Sexual Assault,11
39,Criminal Damage,829
39,Criminal Sexual Assault,33
39,Criminal Trespass,144
39,Deceptive Practice,567
39,Homicide,12
39,Interference With Public Officer,7
39,Intimidation,6
39,Kidnapping,4
39,Motor Vehicle Theft,546
39,Narcotics,63
39,Obscenity,2
39,Offense Involving Children,59
39,Other Offense,545
39,Public Indecency,1
39,Public Peace Violation,15
39,Robbery,270
39,Sex Offense,29
39,Stalking,12
39,Theft,1657
39,Weapons Violation,107
40,Arson,14
40,Assault,1194
40,Battery,2711
40,Burglary,363
40,Concealed Carry License Violation,1
40,Crim Sexual Assault,23
40,Criminal Damage,1537
40,Criminal Sexual Assault,34
40,Criminal Trespass,189
40,Deceptive Practice,473
40,Gambling,5
40,Homicide,49
40,Human Trafficking,4
40,Interference With Public Officer,37
40,Intimidation,10
40,Kidnapping,5
40,Liquor Law Violation,3
40,Motor Vehicle Theft,730
40,Narcotics,261
40,Obscenity,2
40,Offense Involving Children,123
40,Other Offense,906
40,Prostitution,6
40,Public Peace Violation,39
40,Robbery,354
40,Sex Offense,39
40,Stalking,25
40,Theft,1624
40,Weapons Violation,441
41,Arson,4
41,Assault,639
41,Battery,1126
41,Burglary,335
41,Crim Sexual Assault,25
41,Criminal Damage,896
41,Criminal Sexual Assault,49
41,Criminal Trespass,134
41,Deceptive Practice,816
41,Homicide,10
41,Human Trafficking,2
41,Interference With Public Officer,9
41,Intimidation,5
41,Kidnapping,3
41,Liquor Law Violation,3
41,Motor Vehicle Theft,530
41,Narcotics,45
41,Obscenity,7
41,Offense Involving Children,56
41,Other Offense,525
41,Public Peace Violation,23
41,Robbery,491
41,Sex Offense,48
41,Stalking,21
41,Theft,2905
41,Weapons Violation,66
42,Arson,27
42,Assault,1551
42,Battery,3566
42,Burglary,609
42,Concealed Carry License Violation,7
42,Crim Sexual Assault,40
42,Criminal Damage,1957
42,Criminal Sexual Assault,75
42,Criminal Trespass,348
42,Deceptive Practice,816
42,Gambling,9
42,Homicide,60
42,Interference With Public Officer,68
42,Intimidation,14
42,Kidnapping,16
42,Liquor Law Violation,8
42,Motor Vehicle Theft,866
42,Narcotics,448
42,Non-Criminal,2
42,Obscenity,3
42,Offense Involving Children,253
42,Other Offense,1157
42,Public Peace Violation,83
42,Robbery,557
42,Sex Offense,60
42,Stalking,26
42,Theft,2552
42,Weapons Violation,690
43,Arson,58
43,Assault,4134
43,Battery,9479
43,Burglary,2081
43,Concealed Carry License Violation,12
43,Crim Sexual Assault,95
43,Criminal Damage,5232
43,Criminal Sexual Assault,172
43,Criminal Trespass,774
43,Deceptive Practice,1917
43,Gambling,11
43,Homicide,169
43,Interference With Public Officer,184
43,Intimidation,14
43,Kidnapping,22
43,Liquor Law Violation,11
43,Motor Vehicle Theft,2289
43,Narcotics,1054
43,Obscenity,11
43,Offense Involving Children,410
43,Other Offense,2872
43,Prostitution,14
43,Public Peace Violation,157
43,Robbery,1447
43,Sex Offense,158
43,Stalking,63
43,Theft,6312
43,Weapons Violation,1367
44,Arson,58
44,Assault,3059
44,Battery,6236
44,Burglary,1263
44,Concealed Carry License Violation,26
44,Crim Sexual Assault,55
44,Criminal Damage,3745
44,Criminal Sexual Assault,88
44,Criminal Trespass,639
44,Deceptive Practice,1537
44,Gambling,9
44,Homicide,112
44,Human Trafficking,1
44,Interference With Public Officer,109
44,Intimidation,4
44,Kidnapping,16
44,Liquor Law Violation,2
44,Motor Vehicle Theft,1695
44,Narcotics,785
44,Non-Criminal,1
44,Obscenity,3
44,Offense Involving Children,282
44,Other Offense,1855
44,Prostitution,1
44,Public Indecency,2
44,Public Peace Violation,126
44,Robbery,1174
44,Sex Offense,104
44,Stalking,35
44,Theft,5780
44,Weapons Violation,1134
45,Arson,13
45,Assault,578
45,Battery,1149
45,Burglary,249
45,Concealed Carry License Violation,3
45,Crim Sexual Assault,11
45,Criminal Damage,715
45,Criminal Sexual Assault,17
45,Criminal Trespass,127
45,Deceptive Practice,368
45,Gambling,1
45,Homicide,24
45,Interference With Public Officer,35
45,Intimidation,2
45,Kidnapping,2
45,Motor Vehicle Theft,396
45,Narcotics,163
45,Obscenity,2
45,Offense Involving Children,67
45,Other Offense,479
45,Prostitution,1
45,Public Peace Violation,29
45,Robbery,197
45,Sex Offense,26
45,Stalking,8
45,Theft,916
45,Weapons Violation,319
46,Arson,45
46,Assault,2178
46,Battery,4556
46,Burglary,827
46,Concealed Carry License Violation,9
46,Crim Sexual Assault,40
46,Criminal Damage,2619
46,Criminal Sexual Assault,86
46,Criminal Trespass,404
46,Deceptive Practice,850
46,Gambling,7
46,Homicide,78
46,Interference With Public Officer,156
46,Intimidation,12
46,Kidnapping,28
46,Liquor Law Violation,19
46,Motor Vehicle Theft,1150
46,Narcotics,559
46,Obscenity,4
46,Offense Involving Children,285
46,Other Offense,1571
46,Prostitution,2
46,Public Peace Violation,76
46,Robbery,606
46,Sex Offense,77
46,Stalking,21
46,Theft,2757
46,Weapons Violation,853
47,Arson,1
47,Assault,178
47,Battery,345
47,Burglary,77
47,Concealed Carry License Violation,2
47,Crim Sexual Assault,2
47,Criminal Damage,278
47,Criminal Sexual Assault,7
47,Criminal Trespass,23
47,Deceptive Practice,90
47,Gambling,7
47,Homicide,4
47,Interference With Public Officer,12
47,Kidnapping,2
47,Motor Vehicle Theft,94
47,Narcotics,67
47,Offense Involving Children,15
47,Other Offense,138
47,Public Peace Violation,9
47,Robbery,71
47,Sex Offense,4
47,Stalking,2
47,Theft,231
47,Weapons Violation,101
48,Arson,14
48,Assault,608
48,Battery,1156
48,Burglary,244
48,Concealed Carry License Violation,5
48,Crim Sexual Assault,14
48,Criminal Damage,811
48,Criminal Sexual Assault,29
48,Criminal Trespass,114
48,Deceptive Practice,511
48,Homicide,13
48,Interference With Public Officer,36
48,Intimidation,4
48,Kidnapping,3
48,Liquor Law Violation,14
48,Motor Vehicle Theft,547
48,Narcotics,165
48,Non-Criminal,1
48,Obscenity,3
48,Offense Involving Children,60
48,Other Offense,525
48,Public Peace Violation,20
48,Robbery,358
48,Sex Offense,25
48,Stalking,5
48,Theft,1082
48,Weapons Violation,319
49,Arson,66
49,Assault,3084
49,Battery,6330
49,Burglary,1192
49,Concealed Carry License Violation,18
49,Crim Sexual Assault,64
49,Criminal Damage,4305
49,Criminal Sexual Assault,108
49,Criminal Trespass,682
49,Deceptive Practice,1525
49,Gambling,7
49,Homicide,126
49,Interference With Public Officer,205
49,Intimidation,12
49,Kidnapping,27
49,Liquor Law Violation,8
49,Motor Vehicle Theft,1665
49,Narcotics,925
49,Non-Criminal,1
49,Obscenity,5
49,Offense Involving Children,325
49,Other Offense,2493
49,Prostitution,133
49,Public Indecency,1
49,Public Peace Violation,121
49,Robbery,1054
49,Sex Offense,105
49,Stalking,35
49,Theft,4220
49,Weapons Violation,1633
50,Arson,7
50,Assault,518
50,Battery,979
50,Burglary,179
50,Concealed Carry License Violation,4
50,Crim Sexual Assault,8
50,Criminal Damage,606
50,Criminal Sexual Assault,14
50,Criminal Trespass,129
50,Deceptive Practice,296
50,Gambling,2
50,Homicide,20
50,Interference With Public Officer,26
50,Intimidation,1
50,Kidnapping,2
50,Liquor Law Violation,1
50,Motor Vehicle Theft,277
50,Narcotics,107
50,Non-Criminal,2
50,Obscenity,2
50,Offense Involving Children,74
50,Other Offense,490
50,Public Peace Violation,24
50,Robbery,123
50,Sex Offense,19
50,Stalking,7
50,Theft,992
50,Weapons Violation,213
51,Arson,14
51,Assault,986
51,Battery,1632
51,Burglary,236
51,Concealed Carry License Violation,7
51,Crim Sexual Assault,18
51,Criminal Damage,1024
51,Criminal Sexual Assault,16
51,Criminal Trespass,197
51,Deceptive Practice,484
51,Homicide,29
51,Interference With Public Officer,48
51,Intimidation,4
51,Kidnapping,7
51,Liquor Law Violation,9
51,Motor Vehicle Theft,476
51,Narcotics,168
51,Non-Criminal,2
51,Obscenity,1
51,Offense Involving Children,110
51,Other Offense,587
51,Public Peace Violation,25
51,Robbery,254
51,Sex Offense,29
51,Stalking,9
51,Theft,1692
51,Weapons Violation,333
52,Arson,27
52,Assault,543
52,Battery,1163
52,Burglary,168
52,Concealed Carry License Violation,2
52,Crim Sexual Assault,8
52,Criminal Damage,764
52,Criminal Sexual Assault,13
52,Criminal Trespass,117
52,Deceptive Practice,261
52,Homicide,17
52,Human Trafficking,1
52,Interference With Public Officer,25
52,Intimidation,5
52,Kidnapping,10
52,Liquor Law Violation,7
52,Motor Vehicle Theft,274
52,Narcotics,113
52,Obscenity,2
52,Offense Involving Children,62
52,Other Offense,457
52,Public Peace Violation,18
52,Robbery,127
52,Sex Offense,22
52,Stalking,10
52,Theft,718
52,Weapons Violation,232
53,Arson,48
53,Assault,1826
53,Battery,3832
53,Burglary,1131
53,Concealed Carry License Violation,16
53,Crim Sexual Assault,36
53,Criminal Damage,2641
53,Criminal Sexual Assault,52
53,Criminal Trespass,313
53,Deceptive Practice,932
53,Gambling,2
53,Homicide,111
53,Human Trafficking,1
53,Interference With Public Officer,106
53,Intimidation,7
53,Kidnapping,12
53,Liquor Law Violation,11
53,Motor Vehicle Theft,976
53,Narcotics,477
53,Obscenity,1
53,Offense Involving Children,215
53,Other Offense,1529
53,Prostitution,31
53,Public Indecency,1
53,Public Peace Violation,61
53,Robbery,496
53,Sex Offense,72
53,Stalking,18
53,Theft,2362
53,Weapons Violation,1200
54,Arson,9
54,Assault,783
54,Battery,1522
54,Burglary,164
54,Concealed Carry License Violation,1
54,Crim Sexual Assault,12
54,Criminal Damage,893
54,Criminal Sexual Assault,17
54,Criminal Trespass,151
54,Deceptive Practice,197
54,Homicide,36
54,Human Trafficking,1
54,Interference With Public Officer,40
54,Intimidation,2
54,Kidnapping,3
54,Liquor Law Violation,2
54,Motor Vehicle Theft,324
54,Narcotics,92
54,Offense Involving Children,86
54,Other Narcotic Violation,1
54,Other Offense,525
54,Public Peace Violation,17
54,Robbery,176
54,Sex Offense,28
54,Stalking,9
54,Theft,699
54,Weapons Violation,368
55,Arson,18
55,Assault,281
55,Battery,596
55,Burglary,140
55,Concealed Carry License Violation,2
55,Crim Sexual Assault,3
55,Criminal Damage,374
55,Criminal Sexual Assault,6
55,Criminal Trespass,59
55,Deceptive Practice,200
55,Homicide,2
55,Interference With Public Officer,4
55,Intimidation,2
55,Kidnapping,2
55,Liquor Law Violation,3
55,Motor Vehicle Theft,128
55,Narcotics,21
55,Obscenity,3
55,Offense Involving Children,49
55,Other Offense,259
55,Public Peace Violation,6
55,Robbery,50
55,Sex Offense,17
55,Stalking,4
55,Theft,531
55,Weapons Violation,55
56,Arson,18
56,Assault,632
56,Battery,1199
56,Burglary,389
56,Concealed Carry License Violation,123
56,Crim Sexual Assault,11
56,Criminal Damage,1218
56,Criminal Sexual Assault,30
56,Criminal Trespass,154
56,Deceptive Practice,1132
56,Homicide,12
56,Interference With Public Officer,7
56,Intimidation,8
56,Kidnapping,2
56,Liquor Law Violation,5
56,Motor Vehicle Theft,388
56,Narcotics,207
56,Non-Criminal,1
56,Obscenity,5
56,Offense Involving Children,75
56,Other Offense,559
56,Prostitution,211
56,Public Peace Violation,38
56,Robbery,178
56,Sex Offense,43
56,Stalking,15
56,Theft,2053
56,Weapons Violation,157
57,Arson,10
57,Assault,327
57,Battery,656
57,Burglary,200
57,Concealed Carry License Violation,1
57,Crim Sexual Assault,3
57,Criminal Damage,485
57,Criminal Sexual Assault,18
57,Criminal Trespass,50
57,Deceptive Practice,358
57,Homicide,4
57,Interference With Public Officer,4
57,Intimidation,6
57,Kidnapping,4
57,Liquor Law Violation,3
57,Motor Vehicle Theft,240
57,Narcotics,54
57,Obscenity,3
57,Offense Involving Children,37
57,Other Offense,214
57,Prostitution,7
57,Public Peace Violation,17
57,Robbery,132
57,Sex Offense,24
57,Stalking,2
57,Theft,963
57,Weapons Violation,124
58,Arson,40
58,Assault,914
58,Battery,2199
58,Burglary,407
58,Concealed Carry License Violation,1
58,Crim Sexual Assault,18
58,Criminal Damage,1418
58,Criminal Sexual Assault,42
58,Criminal Trespass,127
58,Deceptive Practice,597
58,Homicide,40
58,Interference With Public Officer,25
58,Intimidation,16
58,Kidnapping,8
58,Liquor Law Violation,7
58,Motor Vehicle Theft,509
58,Narcotics,220
58,Obscenity,4
58,Offense Involving Children,161
58,Other Offense,750
58,Prostitution,8
58,Public Indecency,1
58,Public Peace Violation,26
58,Robbery,390
58,Sex Offense,66
58,Stalking,13
58,Theft,1561
58,Weapons Violation,406
59,Arson,9
59,Assault,368
59,Battery,654
59,Burglary,209
59,Concealed Carry License Violation,7
59,Crim Sexual Assault,4
59,Criminal Damage,609
59,Criminal Sexual Assault,17
59,Criminal Trespass,76
59,Deceptive Practice,250
59,Homicide,14
59,Human Trafficking,1
59,Interference With Public Officer,11
59,Intimidation,5
59,Kidnapping,1
59,Liquor Law Violation,4
59,Motor Vehicle Theft,193
59,Narcotics,69
59,Offense Involving Children,35
59,Other Offense,208
59,Prostitution,1
59,Public Peace Violation,14
59,Robbery,126
59,Sex Offense,21
59,Stalking,5
59,Theft,947
59,Weapons Violation,163
60,Arson,11
60,Assault,590
60,Battery,1081
60,Burglary,429
60,Concealed Carry License Violation,1
60,Crim Sexual Assault,15
60,Criminal Damage,1053
60,Criminal Sexual Assault,26
60,Criminal Trespass,139
60,Deceptive Practice,729
60,Homicide,8
60,Interference With Public Officer,16
60,Intimidation,10
60,Kidnapping,7
60,Liquor Law Violation,10
60,Motor Vehicle Theft,298
60,Narcotics,118
60,Obscenity,2
60,Offense Involving Children,47
60,Other Offense,421
60,Prostitution,3
60,Public Peace Violation,22
60,Robbery,201
60,Sex Offense,32
60,Stalking,11
60,Theft,1492
60,Weapons Violation,199
61,Arson,65
61,Assault,2092
61,Battery,4381
61,Burglary,660
61,Concealed Carry License Violation,8
61,Crim Sexual Assault,31
61,Criminal Damage,2297
61,Criminal Sexual Assault,76
61,Criminal Trespass,299
61,Deceptive Practice,865
61,Gambling,1
61,Homicide,84
61,Interference With Public Officer,114
61,Intimidation,16
61,Kidnapping,9
61,Liquor Law Violation,13
61,Motor Vehicle Theft,797
61,Narcotics,699
61,Obscenity,5
61,Offense Involving Children,229
61,Other Offense,1337
61,Prostitution,1
61,Public Peace Violation,82
61,Robbery,727
61,Sex Offense,113
61,Stalking,22
61,Theft,3183
61,Weapons Violation,1027
62,Arson,8
62,Assault,307
62,Battery,650
62,Burglary,291
62,Concealed Carry License Violation,1
62,Crim Sexual Assault,5
62,Criminal Damage,574
62,Criminal Sexual Assault,10
62,Criminal Trespass,78
62,Deceptive Practice,342
62,Homicide,7
62,Interference With Public Officer,5
62,Intimidation,5
62,Kidnapping,4
62,Liquor Law Violation,3
62,Motor Vehicle Theft,214
62,Narcotics,84
62,Obscenity,1
62,Offense Involving Children,46
62,Other Offense,317
62,Public Peace Violation,24
62,Robbery,152
62,Sex Offense,31
62,Stalking,4
62,Theft,879
62,Weapons Violation,140
63,Arson,29
63,Assault,918
63,Battery,1855
63,Burglary,424
63,Concealed Carry License Violation,7
63,Crim Sexual Assault,19
63,Criminal Damage,1213
63,Criminal Sexual Assault,42
63,Criminal Trespass,160
63,Deceptive Practice,493
63,Homicide,30
63,Interference With Public Officer,27
63,Intimidation,14
63,Kidnapping,11
63,Liquor Law Violation,9
63,Motor Vehicle Theft,487
63,Narcotics,247
63,Obscenity,6
63,Offense Involving Children,133
63,Other Offense,684
63,Public Indecency,1
63,Public Peace Violation,41
63,Robbery,411
63,Sex Offense,77
63,Stalking,10
63,Theft,1681
63,Weapons Violation,461
64,Arson,7
64,Assault,375
64,Battery,798
64,Burglary,230
64,Concealed Carry License Violation,2
64,Crim Sexual Assault,5
64,Criminal Damage,601
64,Criminal Sexual Assault,12
64,Criminal Trespass,85
64,Deceptive Practice,584
64,Homicide,5
64,Interference With Public Officer,2
64,Intimidation,3
64,Kidnapping,1
64,Motor Vehicle Theft,223
64,Narcotics,60
64,Obscenity,2
64,Offense Involving Children,71
64,Other Offense,449
64,Public Peace Violation,17
64,Robbery,88
64,Sex Offense,40
64,Stalking,10
64,Theft,875
64,Weapons Violation,75
65,Arson,10
65,Assault,578
65,Battery,1254
65,Burglary,411
65,Concealed Carry License Violation,2
65,Crim Sexual Assault,17
65,Criminal Damage,914
65,Criminal Sexual Assault,25
65,Criminal Trespass,111
65,Deceptive Practice,646
65,Homicide,7
65,Interference With Public Officer,9
65,Intimidation,9
65,Kidnapping,4
65,Liquor Law Violation,3
65,Motor Vehicle Theft,409
65,Narcotics,102
65,Non-Criminal (Subject Specified),1
65,Obscenity,2
65,Offense Involving Children,93
65,Other Offense,503
65,Public Indecency,2
65,Public Peace Violation,19
65,Robbery,247
65,Sex Offense,44
65,Stalking,7
65,Theft,1909
65,Weapons Violation,183
66,Arson,81
66,Assault,2669
66,Battery,5524
66,Burglary,1258
66,Concealed Carry License Violation,6
66,Crim Sexual Assault,44
66,Criminal Damage,3138
66,Criminal Sexual Assault,106
66,Criminal Trespass,412
66,Deceptive Practice,1248
66,Gambling,25
66,Homicide,101
66,Interference With Public Officer,78
66,Intimidation,22
66,Kidnapping,25
66,Liquor Law Violation,19
66,Motor Vehicle Theft,1273
66,Narcotics,796
66,Non-Criminal,2
66,Obscenity,10
66,Offense Involving Children,281
66,Other Offense,1807
66,Prostitution,3
66,Public Peace Violation,106
66,Robbery,1097
66,Sex Offense,110
66,Stalking,15
66,Theft,4052
66,Weapons Violation,1027
67,Arson,100
67,Assault,3154
67,Battery,6884
67,Burglary,1036
67,Concealed Carry License Violation,40
67,Crim Sexual Assault,53
67,Criminal Damage,3563
67,Criminal Sexual Assault,103
67,Criminal Trespass,492
67,Deceptive Practice,1018
67,Gambling,15
67,Homicide,131
67,Human Trafficking,3
67,Interference With Public Officer,169
67,Intimidation,15
67,Kidnapping,22
67,Liquor Law Violation,11
67,Motor Vehicle Theft,1240
67,Narcotics,1319
67,Non-Criminal,1
67,Obscenity,3
67,Offense Involving Children,321
67,Other Offense,2004
67,Prostitution,90
67,Public Indecency,1
67,Public Peace Violation,132
67,Robbery,1085
67,Sex Offense,92
67,Stalking,25
67,Theft,3901
67,Weapons Violation,1848
68,Arson,81
68,Assault,2967
68,Battery,6607
68,Burglary,835
68,Concealed Carry License Violation,37
68,Crim Sexual Assault,60
68,Criminal Damage,3104
68,Criminal Sexual Assault,112
68,Criminal Trespass,405
68,Deceptive Practice,940
68,Gambling,5
68,Homicide,139
68,Interference With Public Officer,151
68,Intimidation,12
68,Kidnapping,17
68,Liquor Law Violation,16
68,Motor Vehicle Theft,1226
68,Narcotics,1193
68,Obscenity,3
68,Offense Involving Children,283
68,Other Offense,2024
68,Prostitution,59
68,Public Peace Violation,129
68,Robbery,962
68,Sex Offense,111
68,Stalking,32
68,Theft,3401
68,Weapons Violation,1736
69,Arson,57
69,Assault,3270
69,Battery,7152
69,Burglary,1191
69,Concealed Carry License Violation,18
69,Crim Sexual Assault,63
69,Criminal Damage,3833
69,Criminal Sexual Assault,124
69,Criminal Trespass,551
69,Deceptive Practice,1224
69,Gambling,4
69,Homicide,132
69,Human Trafficking,3
69,Interference With Public Officer,200
69,Intimidation,9
69,Kidnapping,23
69,Liquor Law Violation,20
69,Motor Vehicle Theft,1914
69,Narcotics,932
69,Obscenity,2
69,Offense Involving Children,367
69,Other Offense,2036
69,Public Indecency,2
69,Public Peace Violation,123
69,Robbery,1194
69,Sex Offense,95
69,Stalking,35
69,Theft,4162
69,Weapons Violation,1649
70,Arson,18
70,Assault,995
70,Battery,1863
70,Burglary,533
70,Crim Sexual Assault,13
70,Criminal Damage,1324
70,Criminal Sexual Assault,35
70,Criminal Trespass,202
70,Deceptive Practice,1034
70,Gambling,5
70,Homicide,20
70,Interference With Public Officer,8
70,Intimidation,11
70,Kidnapping,15
70,Liquor Law Violation,5
70,Motor Vehicle Theft,591
70,Narcotics,109
70,Obscenity,3
70,Offense Involving Children,134
70,Other Offense,827
70,Public Peace Violation,49
70,Robbery,327
70,Sex Offense,43
70,Stalking,12
70,Theft,1863
70,Weapons Violation,263
71,Arson,67
71,Assault,3442
71,Battery,7414
71,Burglary,1348
71,Concealed Carry License Violation,29
71,Crim Sexual Assault,76
71,Criminal Damage,4264
71,Criminal Sexual Assault,112
71,Criminal Trespass,715
71,Deceptive Practice,1763
71,Gambling,6
71,Homicide,152
71,Human Trafficking,3
71,Interference With Public Officer,218
71,Intimidation,9
71,Kidnapping,21
71,Liquor Law Violation,31
71,Motor Vehicle Theft,1650
71,Narcotics,1083
71,Non-Criminal,1
71,Obscenity,6
71,Offense Involving Children,332
71,Other Offense,2395
71,Prostitution,11
71,Public Peace Violation,144
71,Robbery,1135
71,Sex Offense,113
71,Stalking,32
71,Theft,4949
71,Weapons Violation,1702
72,Arson,9
72,Assault,311
72,Battery,493
72,Burglary,281
72,Concealed Carry License Violation,2
72,Crim Sexual Assault,7
72,Criminal Damage,506
72,Criminal Sexual Assault,12
72,Criminal Trespass,138
72,Deceptive Practice,664
72,Homicide,5
72,Interference With Public Officer,7
72,Intimidation,4
72,Kidnapping,7
72,Liquor Law Violation,4
72,Motor Vehicle Theft,250
72,Narcotics,41
72,Obscenity,2
72,Offense Involving Children,68
72,Other Offense,356
72,Public Indecency,1
72,Public Peace Violation,12
72,Robbery,100
72,Sex Offense,17
72,Stalking,5
72,Theft,966
72,Weapons Violation,49
73,Arson,34
73,Assault,1304
73,Battery,2749
73,Burglary,605
73,Concealed Carry License Violation,9
73,Crim Sexual Assault,23
73,Criminal Damage,1831
73,Criminal Sexual Assault,49
73,Criminal Trespass,370
73,Deceptive Practice,1045
73,Gambling,2
73,Homicide,42
73,Human Trafficking,1
73,Interference With Public Officer,55
73,Intimidation,6
73,Kidnapping,11
73,Liquor Law Violation,3
73,Motor Vehicle Theft,1003
73,Narcotics,337
73,Obscenity,2
73,Offense Involving Children,149
73,Other Offense,1131
73,Public Peace Violation,47
73,Robbery,478
73,Sex Offense,68
73,Stalking,16
73,Theft,2504
73,Weapons Violation,522
74,Arson,1
74,Assault,169
74,Battery,366
74,Burglary,94
74,Concealed Carry License Violation,2
74,Crim Sexual Assault,6
74,Criminal Damage,292
74,Criminal Sexual Assault,4
74,Criminal Trespass,101
74,Deceptive Practice,482
74,Homicide,1
74,Interference With Public Officer,1
74,Intimidation,3
74,Kidnapping,5
74,Liquor Law Violation,7
74,Motor Vehicle Theft,87
74,Narcotics,46
74,Obscenity,3
74,Offense Involving Children,37
74,Other Offense,255
74,Prostitution,1
74,Public Peace Violation,5
74,Robbery,47
74,Sex Offense,16
74,Stalking,3
74,Theft,500
74,Weapons Violation,16
75,Arson,9
75,Assault,796
75,Battery,1656
75,Burglary,358
75,Concealed Carry License Violation,6
75,Crim Sexual Assault,16
75,Criminal Damage,1057
75,Criminal Sexual Assault,24
75,Criminal Trespass,226
75,Deceptive Practice,844
75,Homicide,30
75,Interference With Public Officer,40
75,Intimidation,4
75,Kidnapping,12
75,Liquor Law Violation,7
75,Motor Vehicle Theft,469
75,Narcotics,197
75,Non-Criminal,2
75,Obscenity,4
75,Offense Involving Children,158
75,Other Offense,705
75,Public Indecency,2
75,Public Peace Violation,57
75,Robbery,198
75,Sex Offense,33
75,Stalking,10
75,Theft,1960
75,Weapons Violation,237
76,Arson,5
76,Assault,412
76,Battery,1025
76,Burglary,70
76,Concealed Carry License Violation,192
76,Crim Sexual Assault,5
76,Criminal Damage,506
76,Criminal Sexual Assault,22
76,Criminal Trespass,558
76,Deceptive Practice,896
76,Interference With Public Officer,11
76,Intimidation,3
76,Kidnapping,2
76,Liquor Law Violation,3
76,Motor Vehicle Theft,413
76,Narcotics,321
76,Non-Criminal,7
76,Obscenity,1
76,Offense Involving Children,19
76,Other Narcotic Violation,1
76,Other Offense,439
76,Public Peace Violation,85
76,Robbery,36
76,Sex Offense,37
76,Stalking,12
76,Theft,2295
76,Weapons Violation,45
77,Arson,8
77,Assault,1013
77,Battery,2226
77,Burglary,542
77,Crim Sexual Assault,38
77,Criminal Damage,1244
77,Criminal Sexual Assault,86
77,Criminal Trespass,368
77,Deceptive Practice,1362
77,Homicide,7
77,Interference With Public Officer,13
77,Intimidation,12
77,Kidnapping,4
77,Liquor Law Violation,4
77,Motor Vehicle Theft,482
77,Narcotics,76
77,Non-Criminal,1
77,Obscenity,3
77,Offense Involving Children,50
77,Other Offense,654
77,Prostitution,2
77,Public Indecency,1
77,Public Peace Violation,28
77,Robbery,377
77,Sex Offense,85
77,Stalking,20
77,Theft,3930
77,Weapons Violation,35
NA,Assault,1
